DescriptorUI	DescriptorName	TreeNumbers
D016919	Meningitis, Cryptococcal	C01.150.703.181.500.500|C01.150.703.248.290|C01.207.198.500.500|C10.228.228.198.500.500|C10.586.625.300.500
D016920	Meningitis, Bacterial	C01.150.252.223.500|C01.207.180.500|C10.228.228.180.500|C10.586.625.280
D016921	Meningitis, Fungal	C01.150.703.181.500|C01.207.198.500|C10.228.228.198.500|C10.586.625.300
D017001	Tooth Demineralization	C07.793.720
D017029	Epilepsy, Complex Partial	C10.228.140.490.360.260
D017034	Epilepsy, Frontal Lobe	C10.228.140.490.360.270|C10.228.140.490.493.188
D017036	Epilepsia Partialis Continua	C10.597.742.785.260|C23.888.592.742.785.260
D017042	Phenylketonuria, Maternal	C10.228.140.163.100.687.500|C12.050.703.575|C16.320.565.100.766.500|C16.320.565.189.687.500|C18.452.132.100.687.500|C18.452.648.100.766.500|C18.452.648.189.687.500
D017043	Chalazion	C04.182.197|C11.338.300
D017044	Polycystic Kidney, Autosomal Recessive	C12.050.351.968.419.403.875.510|C12.200.777.419.403.875.510|C12.950.419.403.875.510|C16.131.077.717.510|C16.320.184.625.510
D017074	Common Variable Immunodeficiency	C20.673.330
D017085	alpha-Thalassemia	C15.378.050.141.150.875.100|C15.378.420.826.100|C16.320.070.875.100|C16.320.365.826.100
D017086	beta-Thalassemia	C15.378.050.141.150.875.150|C15.378.420.826.150|C16.320.070.875.150|C16.320.365.826.150
D017088	AIDS-Related Opportunistic Infections	C01.221.250.875.100|C01.597.050|C01.925.782.815.616.400.100|C20.673.480.100
D017091	Colitis, Ischemic	C06.405.205.265.115|C06.405.469.158.188.115|C14.907.286
D017092	Porphyria, Erythropoietic	C16.320.850.738|C17.800.827.738|C18.452.811.250
D017093	Liver Failure	C06.552.308.500
D017094	Porphyrias, Hepatic	C06.552.830|C16.320.850.742|C17.800.827.742|C18.452.811.400
D017096	Prion Diseases	C01.207.800|C10.228.228.800|C10.574.843
D017098	IgA Deficiency	C15.378.147.333.500|C20.673.430.500
D017099	IgG Deficiency	C15.378.147.333.750|C20.673.430.750
D017109	Akathisia, Drug-Induced	C10.228.662.037|C10.720.075|C23.888.592.350.600.500|C25.100.249|C25.723.705.100
D017114	Liver Failure, Acute	C06.552.308.500.750
D017116	Low Back Pain	C23.888.592.612.107.400
D017118	Porphyria, Acute Intermittent	C06.552.830.150|C16.320.850.742.150|C17.800.827.742.150|C18.452.811.400.150
D017119	Porphyria Cutanea Tarda	C06.552.830.100|C16.320.850.742.250|C17.800.827.742.250|C18.452.811.400.250
D017121	Porphyria, Hepatoerythropoietic	C06.552.830.437|C16.320.850.742.437|C17.800.827.742.437|C18.452.811.400.437
D017129	Anisakiasis	C01.610.335.508.700.100.060|C01.610.432.060|C06.405.469.452.060
D017169	Neoplasms, Post-Traumatic	C04.666
D017180	Tachycardia, Ventricular	C14.280.067.845.940|C14.280.123.875.940|C23.550.073.845.940
D017188	Adenophorea Infections	C01.610.335.508.100
D017189	Enoplida Infections	C01.610.335.508.100.275
D017190	Secernentea Infections	C01.610.335.508.700
D017191	Ascaridida Infections	C01.610.335.508.700.100
D017192	Skin Diseases, Bacterial	C01.150.252.819|C01.800.720|C17.800.838.765
D017193	Skin Diseases, Viral	C01.925.825|C17.800.838.790
D017194	Oxyurida Infections	C01.610.335.508.700.550
D017196	Rhabditida Infections	C01.610.335.508.700.700
D017202	Myocardial Ischemia	C14.280.647|C14.907.585
D017204	Angelman Syndrome	C10.228.662.075|C16.131.077.095|C16.131.260.040|C16.320.180.040|C16.320.447.250
D017205	Spirurida Infections	C01.610.335.508.700.750
D017206	Strongylida Infections	C01.610.335.508.700.775
D017213	Root Caries	C07.793.720.210.650
D017219	Gastric Outlet Obstruction	C06.405.748.340
D017227	Toxascariasis	C01.610.335.508.700.100.850
D017229	Enterobiasis	C01.610.335.508.700.550.550.375
D017237	Mitochondrial Encephalomyopathies	C05.651.460.620|C10.228.140.163.540|C10.668.491.500.500|C18.452.132.540|C18.452.660.560.620
D017240	Mitochondrial Myopathies	C05.651.460|C10.668.491.500|C18.452.660.560
D017241	MELAS Syndrome	C05.651.460.620.520|C10.228.140.163.100.535|C10.228.140.300.275.500|C10.668.491.500.500.500|C14.907.253.329.500|C16.320.565.189.535|C18.452.132.100.535|C18.452.648.189.535|C18.452.660.560.620.520
D017243	MERRF Syndrome	C05.651.460.620.530|C10.228.140.163.100.545|C10.228.140.490.375.130.650.700|C10.228.140.490.493.063.650.700|C10.668.491.500.500.550|C16.320.565.189.545|C18.452.132.100.545|C18.452.648.189.545|C18.452.660.560.620.530
D017246	Ophthalmoplegia, Chronic Progressive External	C05.651.460.700|C10.292.562.750.250|C10.597.622.447.511|C10.668.491.500.700|C11.590.472.250|C18.452.660.560.700|C23.550.291.500.688|C23.888.592.636.447.511
D017250	Caliciviridae Infections	C01.925.782.160
D017253	Neurofibromatoses	C04.557.580.600.580.590|C04.700.631|C10.562.600|C10.574.500.549|C16.320.400.560|C16.320.700.633
D017254	Leukemic Infiltration	C04.697.645.500|C23.550.727.645.500
D017271	Craniomandibular Disorders	C05.500.607.221|C05.651.243|C07.320.610.291
D017282	Tick-Borne Diseases	C01.920.930
D017285	Polymyositis	C05.651.594.819|C10.668.491.562.575
D017359	HELLP Syndrome	C12.050.703.395.186
D017379	Hypertrophy, Left Ventricular	C14.280.195.400|C23.300.775.250.400
D017380	Hypertrophy, Right Ventricular	C14.280.195.410|C23.300.775.250.401
D017436	Kallmann Syndrome	C12.050.351.875.253.096.750|C12.200.706.316.096.750|C12.800.316.096.750|C16.131.939.316.096.750|C16.320.467|C19.391.119.096.750|C19.391.482.600
D017437	Skin and Connective Tissue Diseases	C17
D017439	Cicatrix, Hypertrophic	A10.165.450.300.125|C23.550.355.274.505
D017441	Necrobiotic Disorders	C17.300.200.495|C17.800.550
D017443	Skin Diseases, Eczematous	C17.800.815
D017444	Skin Diseases, Papulosquamous	C17.800.859
D017445	Skin Diseases, Vascular	C17.800.862
D017449	Dermatitis, Allergic Contact	C17.800.174.255.100|C17.800.815.255.100|C20.543.418.150
D017453	Dermatitis, Irritant	C17.800.174.255.400|C17.800.815.255.400
D017454	Dermatitis, Photoallergic	C17.800.174.255.100.600|C17.800.600.325|C17.800.815.255.100.600|C20.543.418.150.600
D017484	Dermatitis, Phototoxic	C17.800.174.255.400.225|C17.800.600.335|C17.800.815.255.400.225
D017486	Acneiform Eruptions	C17.800.030
D017488	Hyperkeratosis, Epidermolytic	C16.131.831.512.400.375|C16.320.850.400.375|C16.614.492.400.375|C17.800.428.333.250.375|C17.800.804.512.400.375|C17.800.827.400.375
D017490	Ichthyosis, Lamellar	C16.131.831.512.400.410|C16.320.850.400.410|C16.614.492.400.410|C17.800.428.333.250.410|C17.800.804.512.400.410|C17.800.827.400.410
D017492	Keratosis, Seborrheic	C17.800.428.580
D017495	Hyperpigmentation	C17.800.621.430
D017496	Hypopigmentation	C17.800.621.440
D017497	Hidradenitis Suppurativa	C01.150.252.819.420|C01.800.720.420|C01.830.499|C17.800.838.765.420|C17.800.946.315.320
D017499	Porokeratosis	C16.320.850.730|C17.800.428.750|C17.800.827.730
D017511	Pyoderma Gangrenosum	C17.800.695.675|C17.800.862.675|C17.800.893.675
D017512	Lichenoid Eruptions	C17.800.859.475
D017513	Lichen Nitidus	C17.800.859.475.545
D017514	Pityriasis Lichenoides	C17.800.859.475.650|C17.800.859.575.650|C17.800.859.600.650
D017515	Pityriasis Rosea	C17.800.859.600.675
D017520	Mucinoses	C17.300.550
D017541	Aneurysm, False	C14.907.065
D017542	Aneurysm, Ruptured	C14.907.055.185
D017543	Iliac Aneurysm	C14.907.055.625
D017544	Aortic Aneurysm, Abdominal	C14.907.055.239.075|C14.907.109.139.075
D017545	Aortic Aneurysm, Thoracic	C14.907.055.239.125|C14.907.109.139.125
D017562	Postcholecystectomy Syndrome	C06.130.825|C23.550.767.775
D017563	Lung Diseases, Interstitial	C08.381.483
D017564	Radiation Pneumonitis	C08.381.483.675|C08.381.520.734|C26.733.762|G01.750.748.500.762
D017565	Sarcoidosis, Pulmonary	C08.381.483.725|C15.604.515.827.725|C20.543.418.575.725
D017566	Microvascular Angina	C14.280.647.187.575|C14.907.585.187.575
D017573	Focal Epithelial Hyperplasia	C07.465.342
D017574	Parasystole	C14.280.067.672|C23.550.073.670
D017577	Cutaneous Fistula	C17.800.135|C23.300.575.150
D017588	Hyperandrogenism	C12.050.351.875.253.064.500|C12.050.351.875.253.090.750|C12.200.706.316.064.500|C12.200.706.316.090.750|C12.800.316.064.500|C12.800.316.090.750|C16.131.939.316.064.500|C16.131.939.316.129.750|C19.391.119.064.500|C19.391.119.090.750
D017590	Myelinolysis, Central Pontine	C10.228.140.163.560|C10.314.500|C18.452.132.560
D017593	Kleine-Levin Syndrome	C10.886.425.800.200.500|F03.870.400.800.200.500
D017599	Neuroectodermal Tumors	C04.557.465.625|C04.557.580.625
D017600	Neuroectodermal Tumor, Melanotic	C04.557.465.625.630|C04.557.580.625.630
D017622	Periodontal Attachment Loss	C07.465.714.354.750
D017624	WAGR Syndrome	C04.557.435.595.950|C04.588.945.947.535.585.950|C04.700.900.950|C10.597.606.360.969|C11.250.060.950|C11.270.060.950|C11.941.375.060.950|C12.050.351.875.253.096.875|C12.050.351.937.820.535.585.950|C12.050.351.968.419.473.585.950|C12.200.706.316.096.875|C12.200.758.820.750.585.950|C12.200.777.419.473.585.950|C12.800.316.096.875|C12.900.820.535.585.950|C12.950.419.473.585.950|C12.950.983.535.585.950|C16.131.260.940|C16.131.384.079.950|C16.131.939.316.096.875|C16.320.180.940|C16.320.290.078.950|C16.320.700.900.950|C19.391.119.096.875
D017674	Hypophosphatemia	C18.452.750.400
D017675	CREST Syndrome	C06.405.117.119.500.204|C14.907.355.830.573.750.500|C14.907.617.812.500|C14.907.823.225|C17.300.799.801.500|C17.800.784.801.500|C17.800.862.406.750.500|C18.452.174.130.204
D017676	Lichen Planus, Oral	C07.465.397|C17.800.859.475.560.397
D017681	Hypereosinophilic Syndrome	C15.378.553.231.549
D017682	Myocardial Stunning	C14.280.671|C23.888.582
D017688	Cholera Morbus	C06.405.205.200
D017689	Polydactyly	C05.660.585.600|C16.131.621.585.600
D017695	Soft Tissue Injuries	C26.808
D017696	Myopathies, Nemaline	C05.651.575.290|C10.668.491.550.290
D017699	Pelvic Pain	C23.888.592.612.944
D017700	Embolism, Cholesterol	C14.907.355.350.454.500
D017703	Retropharyngeal Abscess	C01.748.561.625|C01.830.025.780|C07.550.781.625|C08.730.561.625|C09.775.649.625
D017714	Community-Acquired Infections	C01.234
D017719	Diabetic Foot	C14.907.320.191|C17.800.893.592.450.200|C19.246.099.500.191|C19.246.099.937.250
D017726	Cytomegalovirus Retinitis	C01.375.725.270|C01.925.256.466.245.150|C01.925.325.270|C11.294.800.270|C11.768.773.360
D017728	Lymphoma, Large-Cell, Anaplastic	C04.557.386.480.750.399|C15.604.515.569.480.750.600|C20.683.515.761.480.750.399
D017731	Lymphomatoid Papulosis	C04.557.386.480.750.800.528|C15.604.515.569.480.750.800.528|C20.683.515.761.480.750.800.528
D017733	Leukoplakia, Hairy	C01.925.256.466.313.500|C04.588.443.591.545.500|C04.834.512.513.500|C07.465.530.545.500|C23.300.816.513.500
D017759	Fractures, Malunited	C26.404.249
D017760	Bone Malalignment	C05.116.214
D017769	Ulnar Nerve Compression Syndromes	C10.668.829.500.850.600|C10.668.829.550.925|C26.844.150.957
D017772	Amyloid Neuropathies	C10.668.829.050|C18.452.845.500.050
D017789	Granuloma, Pyogenic	C23.550.382.937
D017823	Furcation Defects	C07.465.714.204
D017824	Bone Cysts, Aneurysmal	C04.182.089.265|C05.116.070.265
D017825	Canavan Disease	C10.228.140.163.100.362.375|C10.228.140.695.625.375|C10.314.400.375|C10.574.500.300|C16.320.400.150|C16.320.565.189.362.375|C18.452.132.100.362.375|C18.452.648.189.362.375
D017827	Machado-Joseph Disease	C10.228.140.252.190.530.530|C10.228.140.252.700.700.500|C10.228.854.787.875.500|C10.574.500.825.700.500|C10.597.350.090.500.530.530|C16.320.400.780.875.500
D017880	Limb Deformities, Congenital	C05.660.585|C16.131.621.585
D017887	Ossification of Posterior Longitudinal Ligament	C05.116.900.480|C23.550.751.500
D017889	Exfoliation Syndrome	C11.941.375.285
D017890	Splenosis	C15.604.744.742.500|C26.017.680.500|C26.761.555.500
D018058	Tympanic Membrane Perforation	C09.218.903|C26.930
D018088	Tuberculosis, Multidrug-Resistant	C01.150.252.410.040.552.846.775
D018126	Odontodysplasia	C07.650.800.600|C07.793.700.600|C16.131.850.800.600
D018149	Glucose Intolerance	C18.452.394.952.500
D018159	Endolymphatic Hydrops	C09.218.568.217
D018173	Circoviridae Infections	C01.925.256.200
D018174	Arterivirus Infections	C01.925.782.600.100
D018175	Birnaviridae Infections	C01.925.782.123
D018176	Torovirus Infections	C01.925.782.600.550.800
D018177	Flavivirus Infections	C01.925.782.350.250
D018178	Flaviviridae Infections	C01.925.782.350
D018182	Pestivirus Infections	C01.925.782.350.675
D018184	Paramyxoviridae Infections	C01.925.782.580.600
D018185	Morbillivirus Infections	C01.925.782.580.600.500
D018186	Pneumovirus Infections	C01.925.782.580.600.550
D018188	Cardiovirus Infections	C01.925.782.687.150
D018190	Neoplasm, Lymphatic Tissue	C04.557.375
D018191	Lymphangioma, Cystic	C04.557.375.450.450
D018192	Lymphangioleiomyomatosis	C04.557.375.460.465|C04.557.450.692.500|C15.604.515.562.465|C20.683.515.710.465
D018193	Neoplasms, Complex and Mixed	C04.557.435
D018194	Adenomyoma	C04.557.435.110
D018195	Adenosarcoma	C04.557.435.135|C04.557.450.795.135
D018196	Carcinoma, Adenosquamous	C04.557.435.250|C04.557.470.200.150
D018197	Hepatoblastoma	C04.557.435.380
D018198	Mixed Tumor, Malignant	C04.557.435.525
D018199	Mixed Tumor, Mesodermal	C04.557.435.530|C04.557.450.795.530
D018200	Mixed Tumor, Mullerian	C04.557.435.540
D018201	Nephroma, Mesoblastic	C04.557.435.600|C04.588.945.947.535.790|C12.050.351.937.820.535.790|C12.050.351.968.419.473.372|C12.200.758.820.750.372|C12.200.777.419.473.372|C12.900.820.535.790|C12.950.419.473.372|C12.950.983.535.790
D018202	Pulmonary Blastoma	C04.557.435.675|C04.588.894.797.520.867
D018203	Sarcoma, Endometrial Stromal	C04.557.435.775|C04.557.450.795.332.500|C12.050.351.500.852.762.200.500.500|C12.050.351.937.418.875.200.374.500|C12.100.250.852.762.200.500.500|C12.900.418.875.200.374.500
D018204	Neoplasms, Connective and Soft Tissue	C04.557.450
D018205	Neoplasms, Adipose Tissue	C04.557.450.550
D018206	Angiolipoma	C04.557.450.550.100
D018207	Angiomyolipoma	C04.557.450.550.125|C04.557.450.692.249
D018208	Liposarcoma, Myxoid	C04.557.450.550.420.425|C04.557.450.795.465.425
D018209	Myelolipoma	C04.557.450.550.710
D018210	Chondromatosis	C04.557.450.565.265.270
D018211	Chondrosarcoma, Mesenchymal	C04.557.450.565.280.280|C04.557.450.795.300.280
D018212	Giant Cell Tumor of Bone	C04.557.450.565.380.380|C04.557.450.565.575.420
D018213	Neoplasms, Bone Tissue	C04.557.450.565.575
D018214	Fibroma, Ossifying	C04.557.450.565.575.400|C04.557.450.565.590.340.360
D018215	Osteoblastoma	C04.557.450.565.575.600
D018216	Osteochondromatosis	C04.557.450.565.575.610.615|C05.116.099.708.670.615
D018217	Osteosarcoma, Juxtacortical	C04.557.450.565.575.650.655|C04.557.450.795.620.655
D018218	Neoplasms, Fibrous Tissue	C04.557.450.565.590
D018219	Histiocytoma, Benign Fibrous	C04.557.450.565.590.425.350
D018220	Fibroma, Desmoplastic	C04.557.450.565.590.340.345
D018221	Fibromatosis, Abdominal	C04.557.450.565.590.340.400
D018222	Desmoid Tumors	C04.557.450.565.590.340.410
D018223	Dermatofibrosarcoma	C04.557.450.565.590.350.320|C04.557.450.795.350.320
D018224	Myofibromatosis	C04.557.450.565.590.550
D018225	Neoplasms, Fibroepithelial	C04.557.450.565.590.595|C04.557.470.625
D018226	Fibroadenoma	C04.557.450.565.590.595.350|C04.557.470.625.350
D018227	Sarcoma, Clear Cell	C04.557.450.565.800|C04.557.450.795.800
D018228	Sarcoma, Small Cell	C04.557.450.565.825|C04.557.450.795.870
D018229	Angiomyoma	C04.557.450.590.450.125
D018230	Leiomyoma, Epithelioid	C04.557.450.590.450.455
D018231	Leiomyomatosis	C04.557.450.590.450.465
D018232	Rhabdomyosarcoma, Alveolar	C04.557.450.590.550.660.665|C04.557.450.795.550.660.665
D018233	Rhabdomyosarcoma, Embryonal	C04.557.450.590.550.660.675|C04.557.450.795.550.660.675
D018234	Sarcoma, Alveolar Soft Part	C04.557.450.590.775|C04.557.450.795.775
D018235	Smooth Muscle Tumor	C04.557.450.590.800
D018236	Carcinoma, Embryonal	C04.557.465.200
D018237	Germinoma	C04.557.465.330
D018238	Gonadoblastoma	C04.557.465.420|C04.557.475.395|C12.050.351.875.253.096.687.500|C12.050.351.875.253.309.388.500|C12.200.706.316.096.687.500|C12.200.706.316.309.388.500|C12.800.316.096.687.500|C12.800.316.309.388.500|C16.131.939.316.096.687.500|C16.131.939.316.309.388.500|C19.391.119.096.687.500|C19.391.119.309.388.500
D018239	Seminoma	C04.557.465.330.800
D018240	Endodermal Sinus Tumor	C04.557.465.510.350
D018241	Neuroectodermal Tumors, Primitive, Peripheral	C04.557.465.625.600.590.650|C04.557.470.670.590.650|C04.557.580.625.600.590.650
D018242	Neuroectodermal Tumors, Primitive	C04.557.465.625.600.590|C04.557.470.670.590|C04.557.580.625.600.590
D018243	Teratocarcinoma	C04.557.465.900
D018245	Trophoblastic Tumor, Placental Site	C04.557.465.955.207.875|C04.557.470.200.025.455.875|C04.850.908.208.875|C12.050.703.720.949.208.875
D018246	Adrenocortical Adenoma	C04.588.322.078.265.500|C19.053.098.265.500|C19.053.347.500.500|C19.344.078.265.500
D018248	Adenoma, Liver Cell	C04.557.470.035.120|C04.588.274.623.040|C06.301.623.040|C06.552.697.040
D018249	Adenoma, Oxyphilic	C04.557.470.035.140
D018250	Acrospiroma	C04.557.470.035.175.125|C04.557.470.550.175.125
D018251	Hidrocystoma	C04.557.470.035.175.375|C04.557.470.550.175.375
D018252	Syringoma	C04.557.470.035.175.800|C04.557.470.550.175.800
D018253	Adenoma, Villous	C04.557.470.035.185
D018254	Adenomatoid Tumor	C04.557.470.035.200|C04.557.470.660.200
D018255	Adenomatosis, Pulmonary	C04.557.470.035.210
D018256	Adenomatous Polyps	C04.557.470.035.215
D018261	Mesothelioma, Cystic	C04.557.470.035.510.515|C04.557.470.660.510.515
D018262	Adenocarcinoma, Clear Cell	C04.557.470.200.025.045
D018263	Adenocarcinoma, Follicular	C04.557.470.200.025.060
D018265	Carcinoma, Papillary, Follicular	C04.557.470.200.025.060.225|C04.557.470.200.025.085.225
D018266	Adenocarcinoma, Sebaceous	C04.557.470.200.025.105|C04.557.470.550.105
D018267	Carcinoma, Acinar Cell	C04.557.470.200.025.215
D018268	Adrenocortical Carcinoma	C04.557.470.200.025.152|C04.588.322.078.265.750|C19.053.098.265.750|C19.053.347.500.750|C19.344.078.265.750
D018269	Carcinoma, Endometrioid	C04.557.470.200.025.240|C04.588.945.418.948.585.124|C12.050.351.500.056.630.705.331|C12.050.351.937.418.685.331|C12.050.351.937.418.875.200.124|C12.100.250.056.630.705.331|C12.900.418.685.331|C12.900.418.875.200.124|C19.391.630.705.331
D018270	Carcinoma, Ductal, Breast	C04.557.470.200.025.232.500|C04.557.470.615.132.500|C04.588.180.390|C17.800.090.500.390
D018273	Carcinoma, Islet Cell	C04.557.470.200.025.290|C04.588.274.761.500|C04.588.322.475.500|C06.301.761.500|C06.689.667.500|C19.344.421.500
D018275	Carcinoma, Lobular	C04.557.470.200.025.305|C04.557.470.615.305|C04.588.180.437|C17.800.090.500.437
D018276	Carcinoma, Medullary	C04.557.465.625.650.240.315|C04.557.470.200.025.370.315|C04.557.470.615.315|C04.557.580.625.650.240.315
D018277	Carcinoma, Mucoepidermoid	C04.557.470.200.025.340|C04.557.470.590.340
D018278	Carcinoma, Neuroendocrine	C04.557.465.625.650.240|C04.557.470.200.025.370|C04.557.580.625.650.240
D018279	Carcinoma, Signet Ring Cell	C04.557.470.200.025.415|C04.557.470.590.415
D018280	Carcinoma, Skin Appendage	C04.557.470.200.025.420|C04.557.470.550.420
D018281	Cholangiocarcinoma	C04.557.470.200.025.450
D018282	Cystadenocarcinoma, Mucinous	C04.557.470.200.025.480.225|C04.557.470.590.480.225
D018283	Cystadenocarcinoma, Papillary	C04.557.470.200.025.480.230|C04.557.470.590.480.230
D018284	Cystadenocarcinoma, Serous	C04.557.470.200.025.480.240|C04.557.470.590.480.240
D018285	Klatskin Tumor	C04.557.470.200.025.450.500
D018286	Carcinoma, Giant Cell	C04.557.470.200.220
D018287	Carcinoma, Large Cell	C04.557.470.200.260
D018288	Carcinoma, Small Cell	C04.557.470.200.380
D018289	Carcinoma, Verrucous	C04.557.470.200.450|C04.557.470.700.450
D018291	Cystadenoma, Mucinous	C04.557.470.035.320.225|C04.557.470.590.485.225
D018292	Cystadenoma, Papillary	C04.557.470.035.320.230|C04.557.470.590.485.230
D018293	Cystadenoma, Serous	C04.557.470.035.320.240|C04.557.470.590.485.240
D018294	Neoplasms, Adnexal and Skin Appendage	C04.557.470.550
D018295	Neoplasms, Basal Cell	C04.557.470.565
D018296	Pilomatrixoma	C04.557.470.565.625
D018297	Neoplasms, Cystic, Mucinous, and Serous	C04.557.470.590
D018298	Mucoepidermoid Tumor	C04.557.470.590.580
D018299	Neoplasms, Ductal, Lobular, and Medullary	C04.557.470.615
D018300	Papilloma, Intraductal	C04.557.470.615.670
D018301	Neoplasms, Mesothelial	C04.557.470.660
D018302	Neoplasms, Neuroepithelial	C04.557.465.625.600|C04.557.470.670|C04.557.580.625.600
D018303	Ganglioglioma	C04.557.465.625.600.380.350|C04.557.470.670.380.350|C04.557.580.625.600.380.350
D018304	Esthesioneuroblastoma, Olfactory	C04.557.465.625.600.590.650.550.150|C04.557.470.670.590.650.550.150|C04.557.580.625.600.590.650.550.150|C10.292.650.200
D018305	Ganglioneuroblastoma	C04.557.465.625.600.590.650.550.300|C04.557.470.670.590.650.550.300|C04.557.580.625.600.590.650.550.300
D018306	Neurocytoma	C04.557.465.625.600.580|C04.557.470.670.580|C04.557.580.625.600.580|C04.588.614.250.195.648|C10.228.140.211.692|C10.551.240.250.550
D018307	Neoplasms, Squamous Cell	C04.557.470.700
D018308	Papilloma, Inverted	C04.557.470.700.600.610
D018309	Neoplasms, Gonadal Tissue	C04.557.475
D018310	Sertoli-Leydig Cell Tumor	C04.557.475.750.847|C04.588.322.455.648|C04.588.322.762.500|C04.588.945.440.915.500|C12.050.351.500.056.630.705.648|C12.050.351.937.418.685.648|C12.100.250.056.630.705.648|C12.100.500.260.937.500|C12.200.294.260.937.500|C12.200.758.409.937.500|C12.900.418.685.648|C12.900.619.937.500|C19.344.410.648|C19.344.762.500|C19.391.630.705.648|C19.391.829.782.500
D018311	Luteoma	C04.557.475.750.751|C04.588.322.455.464|C12.050.351.500.056.630.705.464|C12.050.351.937.418.685.464|C12.100.250.056.630.705.464|C12.900.418.685.464|C19.344.410.464|C19.391.630.705.464
D018312	Sex Cord-Gonadal Stromal Tumors	C04.557.475.750
D018315	Glioma, Subependymal	C04.557.465.625.600.380.290.390|C04.557.470.670.380.290.390|C04.557.580.625.600.380.290.390
D018316	Gliosarcoma	C04.557.465.625.600.380.400|C04.557.470.670.380.400|C04.557.580.625.600.380.400
D018317	Nerve Sheath Neoplasms	C04.557.580.600|C10.551.775.500|C10.668.829.725.500
D018318	Neurofibroma, Plexiform	C04.557.580.600.580.585|C10.551.775.500.750.500|C10.668.829.725.500.600.500
D018319	Neurofibrosarcoma	C04.557.450.565.590.350.590|C04.557.450.795.350.590|C04.557.580.600.580.795|C10.551.775.500.750.750|C10.668.829.725.500.600.600
D018321	Neurothekeoma	C04.557.450.565.550.625|C04.557.580.600.625
D018322	Angiofibroma	C04.557.645.100
D018323	Hemangioendothelioma, Epithelioid	C04.557.645.375.370.380
D018324	Hemangioma, Capillary	C04.557.645.375.380
D018325	Hemangioblastoma	C04.557.645.375.380.370
D018326	Nevi and Melanomas	C04.557.665
D018327	Hutchinson's Melanotic Freckle	C04.557.465.625.650.510.385|C04.557.580.625.650.510.385|C04.557.665.510.385
D018328	Melanoma, Amelanotic	C04.557.465.625.650.510.515|C04.557.580.625.650.510.515|C04.557.665.510.515
D018329	Nevus, Blue	C04.557.665.560.615.550
D018330	Nevus, Intradermal	C04.557.665.560.590
D018331	Nevus, Spindle Cell	C04.557.665.560.615.625
D018332	Nevus, Epithelioid and Spindle Cell	C04.557.665.560.615.625.585
D018333	Odontogenic Cyst, Calcifying	C04.182.089.530.690.605|C04.557.695.605|C05.500.470.690.605|C07.320.450.670.495
D018335	Rhabdoid Tumor	C04.557.435.710
D018344	T-Lymphocytopenia, Idiopathic CD4-Positive	C15.378.243.750.605.800|C15.378.553.546.605.800|C20.673.627.800
D018347	Hepadnaviridae Infections	C01.925.256.430
D018352	Coronavirus Infections	C01.925.782.600.550.200
D018353	Rhabdoviridae Infections	C01.925.782.580.830
D018354	Alphavirus Infections	C01.920.313.078|C01.920.852.032|C01.925.782.930.100
D018355	Rubivirus Infections	C01.925.782.930.700
D018357	Respiratory Syncytial Virus Infections	C01.925.782.580.600.550.750
D018358	Neuroendocrine Tumors	C04.557.465.625.650|C04.557.580.625.650
D018365	Neoplasm, Residual	C04.697.700|C23.550.727.700
D018366	Vasculitis, Leukocytoclastic, Cutaneous	C14.907.940.910|C17.800.862.972|C20.543.520.910
D018370	Leukocyte-Adhesion Deficiency Syndrome	C16.320.798.719|C20.673.795.719
D018376	Cardiovascular Abnormalities	C14.240|C16.131.240
D018382	Thyroid Hormone Resistance Syndrome	C19.874.410.500
D018404	Isochromosomes	A11.284.187.570|C23.550.210.430|G05.360.162.570|G05.365.590.175.430
D018409	Foot Injuries	C26.558.300
D018410	Pneumonia, Bacterial	C01.150.252.620|C01.748.610.540|C08.381.677.540|C08.730.610.540
D018419	Primate Diseases	C22.735
D018420	Ape Diseases	C22.735.050
D018424	Cholesteatoma, Middle Ear	C09.218.200|C17.800.428.260.300
D018437	Brown-Sequard Syndrome	C10.597.622.669.300|C23.888.592.636.637.300
D018438	Blue Toe Syndrome	C14.907.355.350.454.500.200|C14.907.617.249
D018442	Lymphoma, B-Cell, Marginal Zone	C04.557.386.480.150.570|C15.604.515.569.480.150.570|C20.683.515.761.480.150.570
D018450	Disease Progression	C23.550.291.656
D018455	Protein S Deficiency	C15.378.100.800|C15.378.147.890|C15.378.925.800
D018457	Placenta, Retained	C12.050.703.590.767
D018458	Persistent Vegetative State	C10.228.140.140.627|C10.597.606.358.800.400|C23.888.592.604.359.800.400
D018459	Lichen Sclerosus et Atrophicus	C17.800.859.475.605
D018460	Fractures, Comminuted	C26.404.186
D018461	Soft Tissue Infections	C01.820
D018467	Positive-Pressure Respiration, Intrinsic	C08.618.846.688
D018476	Hypokinesia	C10.597.350.400|C23.888.592.350.400
D018487	Ventricular Dysfunction, Left	C14.280.945.900
D018488	Bone Demineralization, Pathologic	C05.116.198.247|C18.452.104.247
D018489	Space Motion Sickness	C23.888.571.800
D018496	Hyperoxia	C23.888.852.567
D018497	Ventricular Dysfunction, Right	C14.280.945.910
D018500	Diabetes Insipidus, Nephrogenic	C12.050.351.968.419.135.500|C12.200.777.419.135.500|C12.950.419.135.500
D018512	Parasitemia	C01.610.695|C23.550.470.790.500.580
